2022-03-14 23:34:29,603 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-14 23:34:41,459 | MainThread   | [ERROR   ] | _connect            |: disconnected
2022-03-14 23:34:42,461 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-03-14 23:34:42,462 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-14 23:34:47,482 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-14 23:40:31,289 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-14 23:40:34,611 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-14 23:40:37,411 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-14 23:48:05,837 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-15 00:44:43,753 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-15 00:44:43,760 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-15 00:44:43,762 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-03-15 03:48:08,398 | MainThread   | [DEBUG   ] | <module>            |: debug
2022-03-15 03:48:08,400 | MainThread   | [INFO    ] | <module>            |: info
2022-03-15 03:48:08,401 | MainThread   | [WARNING ] | <module>            |: warning
2022-03-15 03:48:08,402 | MainThread   | [ERROR   ] | <module>            |: error
2022-03-15 03:48:08,404 | MainThread   | [CRITICAL] | <module>            |: critical
2022-03-15 03:50:29,611 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2022-03-15 03:50:29,611 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-10.16-x86_64-i386-64bit
2022-03-15 03:50:29,612 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-15 03:50:32,205 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-15 03:52:24,123 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-15 03:53:15,958 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-15 03:53:18,662 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-15 03:56:27,371 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-15 03:56:39,265 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-15 03:56:41,884 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-15 04:00:20,526 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-15 04:00:49,913 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-15 04:00:52,508 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-15 04:02:02,453 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-15 04:02:05,694 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-15 04:02:08,403 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-15 04:07:38,543 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-15 04:13:43,341 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
